	AAB_ddlogFC	AAB_FDR	ABB_ddlogFC	ABB_FDR	is_ChrR	sig_either
C1_02990C_A	-0.756409682247175	3.5222944716724e-05	-1.08804413822195	5.53545991254269e-07	False	True
CR_05990C_A	0.686782276925035	3.79301648594535e-05	0.438010575845271	0.0026118084073795	True	True
CR_05990C_B	0.67042832804603	3.88335990979404e-05	0.379465720280668	0.0062053038130209	True	True
C2_03770C_A	0.540875707152749	4.09385664282089e-05	0.510101078138484	7.60225018187876e-05	False	True
C4_02420C_B	0.809053381789216	4.17724886200776e-05	0.390374105739529	0.0195797980811748	False	True
C7_01760C_B	0.732709085574989	4.17724886200776e-05	0.641683116700995	0.0001675610360671	False	True
C1_05350W_A	0.915372724455352	4.17724886200776e-05	0.764785047901321	0.0003248519471087	False	True
CR_07680C_A	-0.582725832011647	4.17724886200776e-05	-0.569275025344546	7.14985136220921e-05	True	True
C1_08590C_A	-0.640859914499242	4.17724886200776e-05	-0.321434843948937	0.0143065165171433	False	True
C2_01690W_B	0.528894228295357	4.17724886200776e-05	0.625153322449923	6.12440981023885e-06	False	True
C1_04340C_A	-0.610573658455909	4.30701082517655e-05	-0.671013890133119	2.09225563426947e-05	False	True
C1_03320C_B	0.596021001618497	4.33538720587481e-05	0.326334175651746	0.0090538706922548	False	True
C1_08590C_B	-0.625364745477969	4.44583591994555e-05	-0.334277284328526	0.0100018592437806	False	True
C5_01070C_A	-0.54714344761506	4.50865517815455e-05	-0.640096544558277	8.37986249705317e-06	False	True
C1_03460C_A	-0.646904403729614	4.50865517815455e-05	-0.696570152522296	2.45902774669111e-05	False	True
C2_02280W_A	0.675373135633427	4.6836468609617e-05	0.524084157478493	0.0006655710889201	False	True
C5_04300C_A	0.54909728038063	4.71551186938708e-05	0.629523955538531	9.45480560827483e-06	False	True
C6_00830C_B	-0.6336648796139	4.89901178059909e-05	-0.188793964450794	0.149372832611218	False	True
C3_01090W_B	0.913320209423626	4.89901178059909e-05	0.599867630781494	0.0031966498508191	False	True
C6_04200C_B	0.785630741707984	4.93779964311285e-05	0.73794100283458	9.95937977418388e-05	False	True
CR_08510W_B	-0.821797069918294	4.94014454143895e-05	-1.56801598175908	1.53111145428722e-08	True	True
C6_00960W_B	0.637460598693123	5.0128195879655e-05	0.557002394311112	0.000206342585975	False	True
C4_01290W_B	0.547335211832824	5.14853089369163e-05	0.42359559753981	0.0006388756787239	False	True
CR_04820W_B	0.660434050180081	5.26645704636869e-05	0.552735095658584	0.0002934712766214	True	True
C1_07220W_B	0.837469780200447	5.26645704636869e-05	0.890038161136955	2.45902774669111e-05	False	True
C2_01690W_A	0.538199031501478	5.32631869190177e-05	0.595595499067219	1.63241238656681e-05	False	True
C2_01380W_B	-0.520436185449175	5.38127630575731e-05	-0.712465203048714	1.60565373252837e-06	False	True
C7_01680C_B	0.691694754753633	5.40840081326379e-05	0.49308877281863	0.0013383800345434	False	True
C2_06610C_B	1.05999032970684	5.53158966297625e-05	0.838341552602852	0.0005620420940044	False	True
C7_02260W_A	1.46792873369199	5.66896044409628e-05	1.4418765311641	6.20743557708214e-05	False	True
C6_01500C_A	0.714072167263043	5.71708818023713e-05	0.349536766728785	0.020157985799172	False	True
C1_12140W_B	0.673347980688315	5.87362867136908e-05	0.445999531085377	0.0032670436591894	False	True
C4_06910W_B	0.959775297875767	5.88930523000979e-05	0.362753612470025	0.0741401544944876	False	True
CR_09930W_B	-0.630472658685716	5.93670567447165e-05	-0.577573132555077	0.000163647883285	True	True
